community	lat	long	alt	plant_richness	effort	scale	biome	country	insularity	type	plant_origin	community_origin	prop
145	11.109719	-1.485328	280	42	Limited	Local	Tropical_seasonal_forestsavanna	BurkinaFaso	Continent	Plantpollinatorinteractions	Native	Natural	0.761904762
146	11.261306	-74.181083	20	27	Limited	Local	Tropical_seasonal_forestsavanna	Colombia	Continent	Plantpollinatorinteractions	Native	Natural	0.851851852
147	21.609444	-88.036667	5	27	Limited	Local	Tropical_seasonal_forestsavanna	Mexico	Continent	Plantpollinatorinteractions	Native	Natural	0.740740741
148	26.9925	104.753889	2685	26	Full	Local	Temperate_grassland	China	Continent	Plantpollinatorinteractions	Native	Natural	0.923076923
149	44.422981	-123.312051	77	15	Limited	Local	Temperate_rain_forest	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.99
150	46.90136	-123.049121	70	15	Limited	Local	Temperate_rain_forest	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.99
151	-31.962778	115.831299	45	85	Limited	Regional	Woodlandshrubland	Australia	Continent	Plantpollinatorinteractions	Native	Natural	0.905882353
152	27.002456	100.180517	3240	29	Limited	Local	Temperate_grassland	China	Continent	Plantpollinatorinteractions	Native	Natural	0.793103448
153	-7.376542	-39.304806	950	67	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.492537313
154	50.201429	17.412062	635	67	Limited	Regional	Temperate_seasonal_forest	Czech Republic	Continent	Plant-pollinator interactions	Native	Natural	0.925373134
155	4.203917	9.17	650	45	Limited	Local	Tropical_rain_forest	Cameroon	Continent	Plant-pollinator interactions	Native	Natural	0.733333333
156	4.203917	9.17	1100	51	Limited	Local	Tropical_rain_forest	Cameroon	Continent	Plant-pollinator interactions	Native	Natural	0.705882353
157	4.203917	9.17	1450	39	Limited	Local	Tropical_rain_forest	Cameroon	Continent	Plant-pollinator interactions	Native	Natural	0.769230769
158	4.203917	9.17	2200	34	Limited	Local	Tropical_rain_forest	Cameroon	Continent	Plant-pollinator interactions	Native	Natural	0.764705882
159	-30.086389	-51.094167	100	66	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plant-pollinator interactions	Native	Natural	0.848484848
160	35.341031	-111.683217	2350	33	Limited	Local	Subtropical_desert	USA	Continent	Plant-pollinator interactions	Native	Natural	0.939393939
161	35.341031	-111.683217	2625	38	Limited	Local	Subtropical_desert	USA	Continent	Plant-pollinator interactions	Native	Natural	0.947368421
162	35.341031	-111.683217	2925	26	Limited	Local	Subtropical_desert	USA	Continent	Plant-pollinator interactions	Native	Natural	0.961538462
