Sampling	Lat	Long
Species	13.816667	-60.983333
Species	17.965	-76.693333
Species	18.083333	-71.5
Species	18.151389	-66.553889
Species	18.683333	-70.766667
Species	18.1	-71.616667
Species	18.407739	-75.00908
Species	18.208889	-71.557778
Species	-3.05	40.016667
Species	-0.15	36.1
Species	32.6	-111.233333
Species	45.166667	141.233333
Species	35.45	136.35
Species	0.833333	-78.116667
Species	0.016667	-78.633333
Species	0.35	-79.716667
Species	-7.55	-35
Species	34.9	135.983333
Species	35.016667	135.45
Species	31.8	131.383333
Species	47.35	-116.4
Species	46.933333	-116.633333
Species	35.15	137.866667
Species	43.633333	141.85
Species	32.733333	131.316667
Species	32.683333	131.3
Species	36.966667	137.583333
Species	43.683333	143.283333
Species	47.516667	-123.7
Species	35.816667	137.683333
Species	46.8	-116.85
Species	34	133.8
Species	33.816667	134.466667
Species	43.683333	143.283333
Species	-22.333333	-47.9
Species	35.883333	-84.35
Species	35.616667	-86.9
Species	-36.033333	146.883333
Species	39.050833	-90.928889
Species	37.350556	-80.543333
Species	-43.15	171.716667
Species	10.35	-84.783333
Species	18.383333	-77.65
Species	-20.016667	46.516667
Species	15.65	48.416667
Species	-23.166667	-46.416667
Species	-22.452645	-42.538368
Species	-29.500009	30.178216
Species	2.333333	103.866667
Species	2.2	103.6
Species	-3.966667	-79.066667
Species	27.016667	100.166667
Species	-29.609972	30.133167
Species	-29.537722	30.170306
Species	-29.218333	29.555
Species	-31.744722	29.372778
Species	-29.841139	29.202
Species	-29.275	30.279167
Species	-29.753694	30.358306
Species	-29.406972	29.938778
Species	-32.6	26.95
Species	-29.606111	30.128333
Species	-29.275194	30.279167
Species	-29.250278	30.255833
Species	-34.590403	-58.481926
Species	-29.645307	27.369617
Species	-29.482935	29.260642
Species	-21.35	-48.216667
Species	-19	-48.3
Species	4.122966	102.314653
Species	8.58	-80.172103
Species	8.580339	-80.17382
Species	8.58297	-80.172575
Species	8.701544	-79.911593
Species	8.702065	-79.912836
Species	8.784439	-82.959273
Species	9.936398	-83.592095
Species	9.977451	-84.377704
Species	15.3168	-92.732313
Species	16.770209	-92.712028
Species	21.514476	-88.479438
Species	29.755	103.345556
Species	33.068546	106.97375
Community	27.066667	142.216667
Community	-34.066667	18.883333
Community	22.2666667	89.199444
Community	34.216667	-116.95
Community	32.383333	35.133333
Community	46.433333	9.933333
Community	-21.165278	-47.855556
Community	11.05	8.633333
Community	-7.133333	-34.85
Community	36.133333	-82.033333
Community	-43.033333	171.75
Community	0.283333	37.866667
Community	46.550001	-66.116667
Community	45.000001	-109.416667
Community	-24.200001	-48.433333
Community	46.366667	-97.266667
Community	46.766667	17.233333
Community	-53.1	73.533333
Community	8.191694	37.05925
Community	-45.050001	168.8
Community	-15.766667	-56.083333
Community	41.583333	2.566667
Community	36.95	-92.933333
Community	45.650001	-110.95
Community	21.609444	-88.036667
Community	38.951389	-106.983333
Community	-21.533333	165.716667
Community	26.15	-97.983333
Community	26.183333	-97.833333
Community	26.183333	-97.833333
Community	-32.533333	-68.95
Community	35.341031	-111.683217
Community	35.341031	-111.683217
Community	35.341031	-111.683217
Community	-3.066667	37.35
Community	-3.066667	37.35
Community	-3.066667	37.35
Community	-3.066667	37.35
Community	-3.066667	37.35
Community	-3.066667	37.35
Community	22.250001	114.183333
Community	11.149044	-3.060131
Community	10.807333	-3.077667
Community	11.109719	-1.485328
Community	39.824722	-81.748889
Community	-19.150001	-48.383333
Community	8.666667	77.55
Community	52.4	1.083333
Community	52.716667	1.583333
Community	56.0725	9.275556
Community	56.104167	9.107778
Community	56.141667	9.39
Community	28.216667	-16.633333
Community	5.000001	117.833333
Community	68.35	18.5
Community	45.531944	12.735
Community	41.3	1.9
Community	11.261306	-74.181083
Community	37.883333	-122.3
Community	-22.733333	-44.6
Community	50	10
Community	-22.766667	-48.416667
Community	-22.883333	-48.483333
Community	0.283333	34.9
Community	14.166667	121.216667
Community	37.016667	-6.55
Community	53.816667	-2.016667
Community	81.816667	-71.3
Community	42.666667	141.6
Community	-36.416667	148.333333
Community	51.9	9.8
Community	-36.600001	146.783333
Community	45.7	-84.933333
Community	-20.700001	57.733333
Community	-20.45	164.216667
Community	35.066667	135.683333
Community	44.422981	-123.312051
Community	46.90136	-123.049121
Community	81.816667	-71.3
Community	-22.800001	-47.033333
Community	4.203917	9.17
Community	4.203917	9.17
Community	4.203917	9.17
Community	4.203917	9.17
Community	8.35	80.35
Community	32.5000001	34.95
Community	46.216667	24.783333
Community	42.583333	21.183333
Community	28.270833	-16.639167
Community	28.270833	-16.639167
